topic,Fake_Count,Real_Count,Total_Count,Fake_Percentage
21,119,2,121,98.35
37,55,6,61,90.16
11,170,28,198,85.86
15,138,24,162,85.19
13,149,33,182,81.87
9,230,59,289,79.58
3,304,97,401,75.81
1,697,234,931,74.87
30,55,19,74,74.32
22,67,38,105,63.81
16,98,64,162,60.49
0,1674,1138,2812,59.53
28,47,36,83,56.63
20,74,65,139,53.24
42,26,25,51,50.98
12,96,100,196,48.98
10,104,134,238,43.7
31,30,43,73,41.1
33,28,42,70,40.0
24,36,60,96,37.5
4,145,255,400,36.25
40,18,37,55,32.73
17,52,109,161,32.3
35,21,46,67,31.34
29,23,54,77,29.87
7,91,242,333,27.33
18,41,110,151,27.15
6,97,262,359,27.02
43,12,38,50,24.0
23,23,74,97,23.71
41,12,43,55,21.82
34,15,54,69,21.74
32,15,56,71,21.13
36,13,49,62,20.97
25,19,72,91,20.88
39,11,46,57,19.3
14,29,136,165,17.58
2,101,474,575,17.57
26,15,75,90,16.67
27,14,75,89,15.73
38,9,50,59,15.25
5,55,316,371,14.82
8,42,271,313,13.42
19,8,134,142,5.63
