term,frequency
say,9532
year,2397
mr,2331
new,2309
time,2305
trump,2185
make,1978
state,1867
people,1721
photo,1600
president,1595
world,1550
nt,1375
like,1333
tell,1313
work,1312
come,1271
image,1260
country,1209
company,1167
story,1147
caption,1117
include,1111
know,1086
government,1068
report,1066
woman,1047
day,1038
reuters,1025
continue,1017
game,944
group,937
use,933
weinstein,929
want,903
york,894
read,890
new york,888
october,875
home,872
help,858
leave,853
team,851
week,840
try,832
way,820
play,817
million,811
player,809
need,808
national,803
deal,802
united,791
think,790
sign,773
main,770
official,761
police,760
plan,750
house,746
medium,734
month,729
sport,717
right,706
look,705
american,702
run,689
place,675
family,671
united state,671
percent,667
party,663
north,661
city,654
news,653
statement,647
start,647
change,633
read main,632
main story,631
accord,628
continue read,628
university,628
talk,628
support,622
cup,622
newsletter,621
add,618
force,617
hide,614
good,614
ask,613
wednesday,609
open,604
california,599
end,598
thing,597
lead,596
big,595
issue,590
point,587
later,586
caption photo,581
york time,580
sunday,578
hide caption,575
offer,572
china,565
cnn,556
second,556
set,549
service,545
tuesday,540
shot,530
win,529
white,529
league,529
member,529
september,520
write,519
iran,518
high,517
follow,500
monday,498
number,498
tax,497
world cup,495
security,494
south,491
leader,490
really,486
power,486
live,480
law,479
russia,479
car,478
life,476
night,475
political,473
begin,470
child,466
business,464
face,462
minister,460
long,459
paddock,455
washington,453
military,453
election,451
speak,447
final,446
advertisement,445
mr trump,444
court,443
receive,442
international,441
view,437
believe,435
late,434
hold,434
advertisement continue,433
control,426
image caption,426
case,425
post,424
public,423
copyright,423
european,421
season,421
twitter,421
love,420
source,419
image copyright,418
remain,416
office,413
comment,412
mexico,411
rule,410
lose,407
great,407
market,407
expect,405
policy,405
decision,405
kill,404
vote,404
republican,402
watch,402
allow,401
lot,400
attack,400
subscribe,400
nuclear,399
area,398
stand,396
head,396
shoot,396
man,396
product,395
korea,395
war,394
school,393
film,393
campaign,391
share,390
agree,389
goal,388
young,386
pay,384
special,383
address,382
question,382
la,379
past,376
reach,376
japan,375
brazil,374
best,373
large,373
committee,373
meet,369
job,368
email,367
billion,364
mean,361
russian,361
patent,361
star,359
authority,358
happen,356
administration,355
america,354
nation,353
provide,353
major,351
donald,349
feel,347
turn,346
thursday,345
room,345
event,345
order,345
record,344
facebook,343
local,342
harvey,341
interview,341
appear,339
bbc,339
fight,339
stop,335
men,335
away,334
chief,333
hit,333
die,333
region,333
early,331
august,330
charge,330
yearold,325
video,324
amazing,322
close,322
foreign,322
investigation,321
donald trump,321
health,321
fan,321
white house,320
program,319
executive,319
industry,319
music,318
base,315
bad,315
clear,315
little,315
action,314
rise,313
build,313
line,312
qualify,310
release,310
money,309
hand,309
file,308
trade,307
effort,307
anthem,307
congress,306
recent,305
director,304
act,303
different,303
far,303
break,303
cut,302
center,302
raise,299
research,299
problem,299
small,299
protest,296
federal,295
tweet,293
result,293
social,290
shot amazing,290
amazing sport,290
race,289
allegation,289
series,289
agreement,288
box,287
agency,287
return,287
sell,285
nfl,285
bring,285
corker,284
hurricane,284
occur,283
friday,283
hour,282
gun,282
germany,282
death,281
photo shot,280
grow,280
britain,280
department,280
create,280
today,279
puerto,279
visit,279
north korea,278
future,277
secretary,276
hotel,276
cause,275
vega,275
india,274
score,274
concern,272
british,271
challenge,271
travel,271
draw,270
girl,270
important,270
border,270
sport photo,268
role,267
match,267
able,267
history,266
buy,265
minute,265
eu,265
likely,264
air,264
general,264
price,263
global,263
seek,262
stay,261
wife,261
firm,261
ban,260
free,259
old,259
update,259
device,258
playoff,258
experience,257
union,257
saturday,257
claim,257
list,257
bank,256
friend,256
term,255
meeting,255
independence,255
ago,255
miss,255
host,254
community,254
black,254
officer,253
strong,252
consider,252
account,251
island,251
central,250
join,250
water,250
data,250
football,249
turkey,248
drive,248
select,248
hard,246
reporter,246
announce,245
democratic,245
kind,244
step,244
body,244
send,243
matter,243
near,243
say statement,243
technology,241
accuse,241
korean,240
board,240
outside,239
sexual,239
thank,238
